"SP_ID","OBJECTID_1","OBJECTID","SitRecID","Region","Country","ISO3","NatName","IntName","FinCode","SitLat","SitLong","SitArea","Protect","Num_PAs","IbaStatus","KbaStatus","AzeStatus","CREATEDBY","ADDEDBY","ADDEDDATE","CHANGEBY","CHANGEDATE","Query","SOURCE","DELTXT","DELGEOM","MarineIBA","Shape_Leng","Shape_Area","Lat_DD","Lon_DD","biome","area","matched_ib","matched__1","matched__2","matched__3","matched__4","glds90ag","glds95ag","glds00ag"
"0",5,17,38,"Europe","Czech Republic","CZE","Rezabinec","Rezabinec pond","CZ006",49.25,14.0833333333,111,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/02/25",NA,NA,-1,"CSO, 250208, following European updates by Rob Pople",NA,"Refined polygon",NA,0.05489281946,0.00013718093,49.2537888677,14.0921081866,0,110.957,38,-9999,0,-9999,-9999,65.678001403809,66.19660949707,66.245429992676
"1",6,18,39,"Europe","Czech Republic","CZE","Zehunsk rybnk","Zehunsk rybnk pond","CZ002",50.1666666667,15.3166666667,1964,"Whole",6,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/02/25",NA,NA,-1,"CSO, 250208, following European updates by Rob Pople",NA,"Refined polygon",NA,0.27293965003,0.00247155977,50.1556689856,15.3271693835,0,1962.32,39,0,-9999,-9999,-9999,36.259811692768,37.446818974283,38.485524389479
"2",10,22,43,"Europe","Czech Republic","CZE","Stredn ndrz VDNM","Nove Mlyny middle reservoir","CZ009",48.9,16.6,1047,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2008/02/25",NA,NA,-1,"CSO, 250208, following European updates by Rob Pople",NA,"Refined polygon",NA,0.1854653967,0.00128517503,48.8994482127,16.616117971,0,1046.94,43,-9999,-9999,1,-9999,40.029740668632,40.343071911786,40.361669746605
"3",26,42,63,"Europe","Greenland (to Denmark)","GRL","Itinneq","Itinneq","GL033",67,-52.3166666667,1500,"Little/none",0,"confirmed",NA,NA,"Tris Allinson, BirdlLife International","Gill Bunting, BirdLife International","2009/02/01",NA,NA,-1,"Provided by Partner",NA,"Refined polygon",NA,0.78148315763,0.0195783556,67.0243316304,-52.329056206,0,9470.13,63,0,-9999,-9999,-9999,0.019103819504,0.018406419083,0.019095519558
"4",60,76,97,"Europe","Faroe Islands (to Denmark)","FRO","Vtnini  Sandoy (Lakes of Sandoy)","Vtnini  Sandoy (Lakes of Sandoy)","FO015",61.8166666667,-6.81666666667,1000,"Little/none",0,"confirmed",NA,NA,"Tris Allinson, BirdlLife International","Gill Bunting, BirdLife International","2009/02/01",NA,NA,-1,"Provisional data provided by the Faroese Ornithological Society.","This site includes the lowland areas around Sandur with moorland and peatbogs, and the lakes GrSandsvatn, Stand LThere is hay cultivation and sheep-grazing.","Draft polygon",NA,0.3071419225,0.00157013892,61.8361890974,-6.80487432173,0,918.372,97,0,1,-9999,1,12.724156180581,11.78329200535,12.446375354306
"5",78,98,130,"Europe","Serbia","SRB","Fruska Gora","Fruska Gora","YU006",45.0666666667,19.5666666667,42000,"Most",1,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2010/08/13",NA,"1899/12/30",-1,"Recieved from Partner",NA,"Refined polygon",NA,4.98639913482,0.05630904442,45.1443649699,19.6639646155,0,49216.2,130,0,-9999,-9999,-9999,91.225184532771,91.890277434441,89.084267531769
"6",115,136,168,"Europe","Azerbaijan","AZE","Kurun Deltasy","Kura Delta","AZ046",39.3333333333,49.4,15000,"Unknown",1,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2009/10/30",NA,"1899/12/30",-1,"Recieved from Partner in December 2009",NA,"Refined polygon",NA,0.68325931682,0.01562371551,39.3574121295,49.3429881396,0,14970.1,168,0,-9999,-9999,-9999,41.381500244141,44.320739746094,46.375858306885
"7",116,137,169,"Europe","Azerbaijan","AZE","Kusari (Gusari)","Kusari (Gusari) area","AZ022",41.4833333333,48.3833333333,15000,"Unknown",1,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2009/10/30",NA,"1899/12/30",-1,"Recieved from Partner in December 2009",NA,"Refined polygon",NA,1.22695834558,0.01507088397,41.5337373338,48.2672348291,0,13980.1,169,-9999,-9999,-9999,1,51.906213286321,55.504768576338,57.935731213457
"8",121,142,174,"Europe","Azerbaijan","AZE","Ordubad","Ordubad area","AZ017",39.1833333333,45.9333333333,40000,"Whole",1,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2009/10/30",NA,"1899/12/30",-1,"Recieved from Partner in December 2009",NA,"Refined polygon",NA,1.02681355007,0.04012754148,39.1354219704,45.9747588831,0,38570.4,174,-9999,-9999,1,-9999,24.413252664882,26.217129143558,27.43800665755
"9",124,145,177,"Europe","Azerbaijan","AZE","Sangachal Buhtasy","Sangachal Bay","AZ039",40.15,49.5,4000,"Little/none",0,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2009/10/30",NA,"1899/12/30",-1,"Recieved from Partner in December 2009",NA,"Refined polygon",NA,0.23450201785,0.00107469294,40.1450893374,49.4853723806,0,1018.02,177,-9999,-9999,1,-9999,854.531494140625,915.235070180085,957.677716788599
"10",127,148,180,"Europe","Azerbaijan","AZE","Shahbuz","Shahbuz area","AZ016",39.5666666667,45.6833333333,7000,"Little/none",0,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2009/10/30",NA,"1899/12/30",-1,"Recieved from Partner in December 2009",NA,"Refined polygon",NA,0.33213247636,0.00700000665,39.5311266067,45.7769853404,0,6690.41,180,-9999,-9999,1,1,24.664730020089,26.544152189009,27.784130875427
"11",138,160,192,"Europe","Belarus","BLR","Balota Dzikoje","Balota Dzikoje","BY010",52.7666666667,24.2666666667,23145,"Whole",2,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/11/03","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,1.30058033343,0.03082974396,52.7895551535,24.2468784042,0,23103.8,192,-9999,-9999,1,-9999,21.486644797646,20.760941183951,19.617000547524
"12",169,191,232,"Europe","Lithuania","LTU","Viesviles rezervatas","Viesvile Strict Nature Reserve","LT015",55.1333333333,22.4333333333,3220,"Whole",3,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/03","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,0.47866235302,0.00453709528,55.1492894331,22.4398743631,0,3212.85,232,-9999,-9999,-9999,1,40.584156888132,41.277420218664,41.818116653967
"13",173,195,238,"Europe","Lithuania","LTU","Kauno marios (Kauno marios ir rytine ju pakrante)","Kauno Marios water reservoir & eastern coastal zone","LT023",54.85,24.1333333333,6323,"Whole",4,"confirmed",NA,NA,NA,"Gill Bunting, BirdLife International","2006/08/03","00:00:00",NA,-1,"BirdLife International: Global IBA Layer - 13th June 2008",NA,"Refined polygon",NA,1.3532661568,0.00884893125,54.8573841926,24.1399835537,0,6311.96,238,-9999,-9999,-9999,1,368.220029444922,359.512546372792,349.622928354475
